SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0899, 9, -0.67607611, -0.45255539, -0.61438954, -5.70725822, -16.01149178, -27.83820343, 0.00000000, 0.00000000, 0.00000000, 34.29726410, -37.89543915, -135.35560608, 0.43179998, 0.18099999, 0.37579998, 0.79960001, 0.06100000, 0.00900000, -0.03700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, -0.14567798, 0.06593673, -1.00066566, -2.71411347, 17.72983551, -1.42879832, 0.00000000, 0.00000000, 0.00000000, -3.56379867, -5.78114605, 76.75917816, -0.78340000, 0.00690000, -0.05880000, 0.61849999, 0.04300000, -0.00400000, 0.00700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1000, 10, 0.96142322, 0.01734748, -0.27182791, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.71276784, 74.16368103, 3.97632837, 0.79609996, 0.04670000, -0.60130000, -0.04710000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, -0.13365084, 0.05994517, -1.00157154, -2.78413272, 19.55932426, -1.42475712, 0.00000000, 0.00000000, 0.00000000, -3.58671713, -5.58634043, 76.73625946, -0.78359997, 0.00570000, -0.05760000, 0.61839998, 0.03500000, 0.00100000, 0.00800000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1100, 11, 0.96142322, 0.01734748, -0.27182791, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.71276784, 74.15795135, 3.97059870, 0.79609996, 0.04670000, -0.60130000, -0.04710000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0999, 10, -0.69077420, -0.45633453, -0.62971765, -8.34941483, -13.74828815, -30.67539024, 0.00000000, 0.00000000, 0.00000000, 34.46915054, -37.83241272, -135.77384949, 0.42899999, 0.18130000, 0.37619999, 0.80079997, 0.07700001, 0.01000000, -0.02100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1099, 11, -0.67366910, -0.45825711, -0.63950795, -9.74225044, -13.51000690, -31.32681656, 0.00000000, 0.00000000, 0.00000000, 34.63531113, -37.76939011, -136.19784546, 0.42620000, 0.18159999, 0.37649998, 0.80210000, 0.06100000, 0.01000000, -0.01000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, -0.11951325, 0.04499146, -1.00850785, -3.71675754, 18.92332268, -1.03828084, 0.00000000, 0.00000000, 0.00000000, -3.62109423, -5.39726448, 76.71334076, -0.78380001, 0.00440000, -0.05650000, 0.61839998, 0.02400000, 0.01700000, 0.01500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1200, 12, 0.96142322, 0.01734748, -0.27182791, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.70703816, 74.16368103, 3.97632837, 0.79609996, 0.04670000, -0.60130000, -0.04720000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, -0.14713576, 0.01712642, -1.02999949, -5.36239243, 17.75767708, 0.65804428, 0.00000000, 0.00000000, 0.00000000, -3.67839026, -5.21964741, 76.70761108, -0.78380001, 0.00310000, -0.05560000, 0.61839998, 0.05500000, 0.04600000, 0.03600000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
